model,accuracy,precision,recall,f1_score,roc_auc
Random Forest,0.819672131147541,0.775,0.9393939393939394,0.8493150684931506,0.9090909090909092
Logistic Regression,0.8524590163934426,0.8529411764705882,0.8787878787878788,0.8656716417910447,0.9036796536796537
Neural Network,0.8032786885245902,0.8,0.8484848484848485,0.8235294117647058,0.8647186147186147
Decision Tree,0.819672131147541,0.8055555555555556,0.8787878787878788,0.8405797101449275,0.8133116883116884
